Timestamp,MessageType,Latency,StatusCode,RoomId
1761931917092,TEXT,14,200,13
1761931917093,TEXT,15,200,6
1761931917093,TEXT,15,200,5
1761931917095,JOIN,17,200,18
1761931917095,JOIN,17,200,16
1761931917096,TEXT,17,200,1
1761931917097,LEAVE,18,200,20
1761931917099,TEXT,19,200,9
1761931917100,JOIN,18,200,18
1761931917100,TEXT,19,200,5
1761931917100,TEXT,18,200,13
1761931917100,TEXT,18,200,4
1761931917100,TEXT,18,200,6
1761931917100,TEXT,18,200,3
1761931917100,TEXT,19,200,3
1761931917100,TEXT,17,200,8
1761931917100,TEXT,17,200,11
1761931917100,TEXT,18,200,2
1761931917100,TEXT,17,200,12
1761931917105,TEXT,18,200,8
1761931917105,TEXT,18,200,15
1761931917109,TEXT,18,200,19
1761931917109,TEXT,18,200,10
1761931917109,TEXT,19,200,6
1761931917109,TEXT,19,200,11
1761931917109,TEXT,18,200,15
1761931917109,TEXT,17,200,9
1761931917109,TEXT,18,200,18
1761931917109,TEXT,19,200,13
1761931917109,TEXT,19,200,9
1761931917109,TEXT,18,200,3
1761931917109,TEXT,17,200,15
1761931917109,JOIN,18,200,8
1761931917109,TEXT,17,200,13
1761931917110,TEXT,18,200,18
1761931917112,TEXT,20,200,20
1761931917112,TEXT,18,200,5
1761931917112,JOIN,18,200,10
1761931917112,TEXT,19,200,6
1761931917112,TEXT,16,200,16
1761931917112,TEXT,17,200,18
1761931917112,TEXT,16,200,19
1761931917112,TEXT,16,200,1
1761931917115,TEXT,18,200,6
1761931917116,TEXT,18,200,20
1761931917116,JOIN,15,200,5
1761931917116,TEXT,16,200,9
1761931917116,TEXT,15,200,3
1761931917116,TEXT,16,200,18
1761931917116,TEXT,15,200,4
1761931917116,TEXT,15,200,6
1761931917116,TEXT,15,200,2
1761931917116,TEXT,15,200,13
1761931917116,TEXT,15,200,8
1761931917116,TEXT,15,200,3
1761931917116,TEXT,14,200,12
1761931917116,TEXT,14,200,3
1761931917116,TEXT,14,200,20
1761931917116,TEXT,15,200,12
1761931917116,TEXT,15,200,11
1761931917116,TEXT,14,200,11
1761931917116,TEXT,14,200,13
1761931917116,TEXT,14,200,13
1761931917116,TEXT,15,200,19
1761931917116,TEXT,14,200,9
1761931917118,TEXT,15,200,7
1761931917118,TEXT,16,200,11
1761931917118,TEXT,15,200,8
1761931917121,TEXT,18,200,14
1761931917121,TEXT,18,200,13
1761931917122,TEXT,16,200,8
1761931917122,TEXT,16,200,15
1761931917122,LEAVE,16,200,19
1761931917122,TEXT,16,200,2
1761931917122,TEXT,16,200,20
1761931917122,TEXT,16,200,3
1761931917123,TEXT,17,200,2
1761931917123,TEXT,17,200,14
1761931917123,TEXT,14,200,15
1761931917123,TEXT,14,200,15
1761931917123,TEXT,14,200,6
1761931917123,TEXT,14,200,9
1761931917125,TEXT,16,200,13
1761931917125,TEXT,15,200,7
1761931917125,TEXT,16,200,9
1761931917126,TEXT,16,200,13
1761931917126,TEXT,16,200,3
1761931917126,TEXT,15,200,14
1761931917126,TEXT,15,200,3
1761931917126,TEXT,16,200,11
1761931917126,LEAVE,15,200,10
1761931917126,TEXT,15,200,6
1761931917126,TEXT,16,200,8
1761931917126,TEXT,15,200,14
1761931917127,TEXT,16,200,13
1761931917127,LEAVE,17,200,19
1761931917127,TEXT,16,200,2
1761931917127,TEXT,14,200,6
1761931917127,TEXT,14,200,18
1761931917127,TEXT,14,200,19
1761931917127,TEXT,14,200,16
1761931917127,LEAVE,14,200,5
1761931917127,TEXT,14,200,10
1761931917128,TEXT,19,200,18
1761931917128,TEXT,18,200,18
1761931917128,TEXT,15,200,1
1761931917128,TEXT,18,200,11
1761931917129,TEXT,19,200,10
1761931917129,TEXT,16,200,6
1761931917129,TEXT,15,200,2
1761931917129,TEXT,15,200,19
1761931917129,TEXT,16,200,17
1761931917129,LEAVE,15,200,17
1761931917129,TEXT,16,200,20
1761931917129,TEXT,15,200,2
1761931917132,TEXT,16,200,6
1761931917132,LEAVE,16,200,5
1761931917132,TEXT,16,200,18
1761931917132,TEXT,16,200,3
1761931917132,JOIN,16,200,2
1761931917132,TEXT,16,200,20
1761931917132,TEXT,16,200,12
1761931917132,TEXT,16,200,9
1761931917132,TEXT,16,200,4
1761931917132,LEAVE,16,200,13
1761931917132,TEXT,16,200,6
1761931917132,TEXT,16,200,8
1761931917132,TEXT,16,200,20
1761931917132,TEXT,16,200,13
1761931917132,TEXT,16,200,3
1761931917132,TEXT,16,200,11
1761931917132,JOIN,16,200,12
1761931917134,TEXT,17,200,18
1761931917134,TEXT,17,200,3
1761931917134,TEXT,17,200,16
1761931917134,TEXT,17,200,3
1761931917134,TEXT,17,200,14
1761931917134,JOIN,17,200,11
1761931917134,TEXT,15,200,7
1761931917134,TEXT,17,200,13
1761931917134,TEXT,17,200,9
1761931917134,TEXT,15,200,8
1761931917134,TEXT,17,200,19
1761931917134,TEXT,15,200,5
1761931917134,TEXT,15,200,9
1761931917134,TEXT,15,200,11
1761931917134,TEXT,15,200,9
1761931917134,TEXT,15,200,3
1761931917134,JOIN,12,200,15
1761931917134,TEXT,12,200,14
1761931917134,TEXT,12,200,13
1761931917135,TEXT,16,200,1
1761931917135,TEXT,13,200,13
1761931917135,TEXT,13,200,9
1761931917135,TEXT,12,200,19
1761931917135,TEXT,13,200,8
1761931917137,TEXT,15,200,18
1761931917137,TEXT,15,200,20
1761931917137,TEXT,15,200,2
1761931917137,TEXT,15,200,15
1761931917137,TEXT,13,200,14
1761931917137,TEXT,15,200,11
1761931917137,TEXT,13,200,15
1761931917137,TEXT,13,200,2
1761931917137,TEXT,15,200,3
1761931917137,TEXT,13,200,14
1761931917137,LEAVE,13,200,9
1761931917137,TEXT,15,200,11
1761931917137,JOIN,15,200,19
1761931917137,TEXT,13,200,6
1761931917137,TEXT,13,200,15
1761931917137,TEXT,13,200,9
1761931917137,JOIN,13,200,4
1761931917140,TEXT,16,200,8
1761931917140,TEXT,14,200,13
1761931917140,TEXT,14,200,3
1761931917140,TEXT,16,200,19
1761931917140,TEXT,14,200,7
1761931917140,TEXT,14,200,9
1761931917140,TEXT,14,200,14
1761931917140,TEXT,14,200,13
1761931917140,LEAVE,14,200,3
1761931917141,TEXT,14,200,11
1761931917141,TEXT,14,200,10
1761931917141,TEXT,14,200,11
1761931917141,TEXT,13,200,6
1761931917141,JOIN,14,200,14
1761931917142,TEXT,15,200,8
1761931917142,TEXT,14,200,19
1761931917142,TEXT,16,200,6
1761931917142,LEAVE,15,200,13
1761931917142,TEXT,14,200,2
1761931917142,JOIN,14,200,19
1761931917142,TEXT,13,200,18
1761931917142,TEXT,14,200,13
1761931917142,TEXT,14,200,18
1761931917142,TEXT,15,200,16
1761931917142,TEXT,15,200,5
1761931917142,TEXT,15,200,10
1761931917142,TEXT,13,200,1
1761931917142,TEXT,13,200,2
1761931917142,TEXT,13,200,6
1761931917142,TEXT,14,200,18
1761931917142,TEXT,14,200,11
1761931917143,TEXT,13,200,17
1761931917143,TEXT,13,200,17
1761931917143,TEXT,14,200,19
1761931917143,TEXT,14,200,10
1761931917144,TEXT,15,200,2
1761931917144,TEXT,15,200,2
1761931917144,JOIN,15,200,20
1761931917145,TEXT,13,200,5
1761931917145,TEXT,13,200,6
1761931917148,TEXT,16,200,18
1761931917148,TEXT,16,200,12
